# TradeHub Core Turkish Translations
# Format: source,translated,context (optional)

# Common Labels
Grade record not found,Not kaydi bulunamadi,
Import file not found,Icerik aktarma dosyasi bulunamadi,
Import job not found,Icerik aktarma isi bulunamadi,
"Import Job {0} does not exist","Icerik Aktarma Isi {0} mevcut degil",
Item DocType not found. Please ensure ERPNext is properly configured.,Item DocType bulunamadi. Lutfen ERPNext'in dogru yapilandirildiginden emin olun.,
KPI score record not found,KPI puan kaydi bulunamadi,
"Mapping Template {0} does not exist","Eslestirme Sablonu {0} mevcut degil",
No grade record found for this customer,Bu musteri icin not kaydi bulunamadi,
"Order {0} not found","Siparis {0} bulunamadi",
Premium Buyer not found,Premium Alici bulunamadi,
Sales Order DocType not found. Please ensure ERPNext is properly configured.,Sales Order DocType bulunamadi. Lutfen ERPNext'in dogru yapilandirildiginden emin olun.,
"Selected Tenant '{0}' does not exist.","Secilen Kiralayan '{0}' mevcut degil.",
Seller not found,Satici bulunamadi,
"Seller Profile {0} not found","Satici Profili {0} bulunamadi",
"SKU Product {0} not found","SKU Urunu {0} bulunamadi",
Supplier DocType not found. Please ensure ERPNext is properly configured.,Supplier DocType bulunamadi. Lutfen ERPNext'in dogru yapilandirildiginden emin olun.,
"Tenant {0} does not exist","Kiralayan {0} mevcut degil",
"{0} '{1}' does not exist","{0} '{1}' mevcut degil",

# Errors - State/Status
Auto-match is only available when Import Job status is Pending,Otomatik eslestirme yalnizca Icerik Aktarma Isi durumu Beklemede iken kullanilabilir,
Cannot delete a default Buyer KPI Template. Remove the default flag first.,Varsayilan bir Alici KPI Sablonu silinemez. Once varsayilan isaretini kaldirin.,
Cannot delete active feedback. Withdraw it first.,Aktif geri bildirim silinemez. Once geri cekin.,
Cannot delete active seller customer grade records,Aktif satici musteri not kayitlari silinemez,
"Cannot delete category '{0}' as it has child categories: {1}","'{0}' kategorisi alt kategorileri oldugu icin silinemez: {1}",
"Cannot delete category '{0}' as it has {1} buyer(s) assigned. Please reassign them first.","'{0}' kategorisi {1} atanmis alici(lar) oldugu icin silinemez. Lutfen once yeniden atayin.",
Cannot delete City with linked Districts. Please delete all Districts in this city first.,Bagli Ilceleri olan Sehir silinemez. Lutfen once bu sehirdeki tum Ilceleri silin.,
"Cannot delete Commercial Region with {0} linked cities. Please update or remove the city associations first.","Bagli {0} sehir bulunan Ticari Bolge silinemez. Lutfen once sehir iliskilerini guncelleyin veya kaldirin.",
Cannot delete District with linked Neighborhoods. Please delete all Neighborhoods in this district first.,Bagli Mahalleleri olan Ilce silinemez. Lutfen once bu ilcedeki tum Mahalleleri silin.,
Cannot delete finalized grade records,Kesinlesmis not kayitlari silinemez,
Cannot delete finalized KPI score records,Kesinlesmis KPI puan kayitlari silinemez,
Cannot delete Neighborhood with linked Address Items. Please update addresses first.,Bagli Adres Oegeleri olan Mahalle silinemez. Lutfen once adresleri guncelleyin.,
Cannot delete Tenant with active Seller Profiles. Please delete all linked Seller Profiles first.,Aktif Satici Profilleri olan Kiralayan silinemez. Lutfen once tum bagli Satici Profillerini silin.,
"Cannot link to inactive City '{0}'. Please select an active city.","Aktif olmayan Sehir '{0}' ile baglanti kurulamaz. Lutfen aktif bir sehir secin.",
"Cannot link to inactive District '{0}'. Please select an active district.","Aktif olmayan Ilce '{0}' ile baglanti kurulamaz. Lutfen aktif bir ilce secin.",
Cannot retry this job,Bu is yeniden denenemez,
Feedback already exists for this order. Only one feedback per order is allowed.,Bu siparis icin geri bildirim zaten mevcut. Siparis basina yalnizca bir geri bildirime izin verilir.,
Feedback is already withdrawn,Geri bildirim zaten geri cekildi,
Grade is already finalized,Not zaten kesinlestirildi,
Group buy is not active,Grup alis aktif degil,
Job cannot be retried,Is yeniden denenemez,
"Job cannot be started from status: {0}","Is su durumdan baslatilamaz: {0}",
KPI score is already finalized,KPI puani zaten kesinlestirildi,
Only active feedback can be revised,Yalnizca aktif geri bildirim duzenlenebilir,
"Only confirmed orders can be synced to ERPNext. Current status: {0}","Yalnizca onaylanmis siparisler ERPNext'e senkronize edilebilir. Mevcut durum: {0}",
Only draft profiles can be submitted for review,Yalnizca taslak profiller incelemeye gonderilebilir,
Only finalized KPI scores can be appealed,Yalnizca kesinlesmis KPI puanlari icin itiraz edilebilir,
Only Finalized or Draft grades can be overridden,Yalnizca Kesinlesmis veya Taslak notlar gecersiz kilinabilir,
Only pending profiles can be reviewed,Yalnizca bekleyen profiller incelenebilir,
Only verified profiles can be suspended,Yalnizca dogrulanmis profiller askiya alinabilir,
Only verified profiles can expire,Yalnizca dogrulanmis profillerin suresi dolabilir,
"Only verified sellers can be synced to ERPNext. Current status: {0}","Yalnizca dogrulanmis saticilar ERPNext'e senkronize edilebilir. Mevcut durum: {0}",
"Only Active or Passive SKU Products can be synced to ERPNext. Current status: {0}","Yalnizca Aktif veya Pasif SKU Urunleri ERPNext'e senkronize edilebilir. Mevcut durum: {0}",
"Tenant {0} is disabled","Kiralayan {0} devre disi",
"Tenant {0} is not active (status: {1})","Kiralayan {0} aktif degil (durum: {1})",
"Mapping template can only be applied when Import Job status is Pending. Current status: {0}","Eslestirme sablonu yalnizca Icerik Aktarma Isi durumu Beklemede iken uygulanabilir. Mevcut durum: {0}",
Mapping template can only be applied when status is Pending,Eslestirme sablonu yalnizca durum Beklemede iken uygulanabilir,

# Errors - ERPNext Integration
ERPNext is not installed,ERPNext kurulu degil,
ERPNext is not installed. Cannot sync to Customer.,ERPNext kurulu degil. Customer ile senkronize edilemiyor.,
ERPNext is not installed. Cannot sync to Item.,ERPNext kurulu degil. Item ile senkronize edilemiyor.,
ERPNext is not installed. Cannot sync to Sales Order.,ERPNext kurulu degil. Sales Order ile senkronize edilemiyor.,
ERPNext is not installed. Cannot sync to Supplier.,ERPNext kurulu degil. Supplier ile senkronize edilemiyor.,
ERPNext sync is not enabled for this buyer,Bu alici icin ERPNext senkronizasyonu etkin degil,
ERPNext sync is not enabled for this seller,Bu satici icin ERPNext senkronizasyonu etkin degil,
ERPNext sync is not enabled for this SKU Product,Bu SKU Urunu icin ERPNext senkronizasyonu etkin degil,
"ERPNext Warehouse {0} is disabled. Please select an active warehouse.","ERPNext Deposu {0} devre disi. Lutfen aktif bir depo secin.",
Keycloak SSO is not enabled for this tenant,Bu kiralayan icin Keycloak SSO etkin degil,
No import file attached to this job,Bu ise ekli icerik aktarma dosyasi yok,
Order sync is not enabled for this tenant,Bu kiralayan icin siparis senkronizasyonu etkin degil,
openpyxl is required to read Excel files. Please install it.,Excel dosyalarini okumak icin openpyxl gereklidir. Lutfen yukleyin.,
No column headers found in the import file,Icerik aktarma dosyasinda sutun basliklari bulunamadi,

# Success Messages
Appeal submitted successfully,Itiraz basariyla gonderildi,
Buyer activated,Alici etkinlestirildi,
Buyer blocked,Alici engellendi,
Buyer has been rejected,Alici reddedildi,
Buyer has been verified,Alici dogrulandi,
Buyer suspended,Alici askiya alindi,
Can participate,Katilabilir,
"Column mapping saved successfully ({0} columns matched)","Sutun eslestirmesi basariyla kaydedildi ({0} sutun eslesti)",
"ERPNext Customer {0} created","ERPNext Musteri {0} olusturuldu",
Feedback revised successfully,Geri bildirim basariyla duzenlendi,
Feedback withdrawn successfully,Geri bildirim basariyla geri cekildi,
File validated successfully,Dosya basariyla dogrulandi,
Grade finalized successfully,Not basariyla kesinlestirildi,
"Grade overridden from {0} to {1}","Not {0} seviyesinden {1} seviyesine gecersiz kilindi",
Grade overridden successfully,Not basariyla gecersiz kilindi,
Import job cancelled,Icerik aktarma isi iptal edildi,
Import job created successfully,Icerik aktarma isi basariyla olusturuldu,
Import job paused,Icerik aktarma isi duraklatildi,
Import job queued for processing,Icerik aktarma isi islenmek uzere siraya alindi,
Import job resumed,Icerik aktarma isi devam ettirildi,
KPI score finalized successfully,KPI puani basariyla kesinlestirildi,
KPI score revised successfully,KPI puani basariyla duzenlendi,
KYC profile rejected,KYC profili reddedildi,
KYC profile submitted for review,KYC profili incelemeye gonderildi,
KYC profile verified successfully,KYC profili basariyla dogrulandi,
Mapping template applied successfully,Eslestirme sablonu basariyla uygulandi,
Member added successfully,Uye basariyla eklendi,
Member removed successfully,Uye basariyla cikarildi,
Metrics updated,Metrikler guncellendi,
Organization verification rejected,Organizasyon dogrulamasi reddedildi,
Organization verified successfully,Organizasyon basariyla dogrulandi,
Profile submitted for verification,Profil dogrulama icin gonderildi,
Retry job created successfully,Yeniden deneme isi basariyla olusturuldu,
"Segment changed to {0}","Segment {0} olarak degistirildi",
Segment upgraded successfully,Segment basariyla yukseltildi,
"Successfully synced to Customer {0}","Customer {0} ile basariyla senkronize edildi",
"Successfully synced to Item {0}","Item {0} ile basariyla senkronize edildi",
"Successfully synced to Sales Order {0}","Sales Order {0} ile basariyla senkronize edildi",
"Successfully synced to Supplier {0}","Supplier {0} ile basariyla senkronize edildi",
Successfully unlinked,Baglanti basariyla kaldirildi,
"Switched to tenant {0}","Kiralayan {0} olarak degistirildi",
"Sync job enqueued for {0}","Senkronizasyon isi {0} icin siraya alindi",
Template duplicated successfully,Sablon basariyla kopyalandi,
"Template {0} set as default for {1} - {2}","Sablon {0} {1} - {2} icin varsayilan olarak ayarlandi",
"Updated buyer counts for {0} categories","{0} kategori icin alici sayilari guncellendi",
Webhook registered successfully,Webhook basariyla kaydedildi,
"{0} templates created, {1} skipped (already exist)","{0} sablon olusturuldu, {1} atlandi (zaten mevcut)",

# Warning Messages
"Cannot migrate address for buyer {0}: No matching city found for '{1}' and no fallback cities available","Alici {0} icin adres tasima yapilamiyor: '{1}' icin eslesen sehir bulunamadi ve yedek sehir mevcut degil",
Consider designating at least one admin for this organization,Bu organizasyon icin en az bir yonetici atamayi dusunun,
Custom criteria is enabled but no criteria are defined,Ozel kriterler etkin ancak hicbir kriter tanimlanmamis,
"Error migrating address for {0}: {1}","{0} icin adres tasima hatasi: {1}",
No primary contact designated for this organization,Bu organizasyon icin birincil iletisim kisi atanmamis,
Please specify a Tenant or mark as Global template,Lutfen bir Kiralayan belirtin veya Global sablon olarak isaretleyin,
Skipping validation may result in invalid data. Proceed with caution.,Dogrulamayi atlamak gecersiz verilere yol acabilir. Dikkatli devam edin.,
Subscription is in grace period. Please renew to maintain premium benefits.,Abonelik ek sure doneminde. Premium avantajlari korumak icin lutfen yenileyin.,
"Template configuration is missing recommended fields: {0}","Sablon yapilandirmasinda onerilen alanlar eksik: {0}",
"This rule has {0} execution logs that will be orphaned","Bu kuralda {0} yetim kalacak calistirma kaydi var",
"Value will be ignored for operator '{0}'","'{0}' operatoru icin deger dikkate alinmayacak",
"Warning: API Key is recommended when connecting to an external ERPNext site","Uyari: Harici bir ERPNext sitesine baglanirken API Anahtari onerilir",
"Warning: Critical threshold should be greater than target value for 'Lower is Better' metrics","Uyari: 'Dusuk Daha Iyi' metrikleri icin kritik esik hedef degerden buyuk olmalidir",
"Warning: Critical threshold should be less than target value for 'Higher is Better' metrics","Uyari: 'Yuksek Daha Iyi' metrikleri icin kritik esik hedef degerden kucuk olmalidir",
"Warning: Next level '{0}' has equal or lower rank than this level","Uyari: Sonraki seviye '{0}' bu seviye ile ayni veya daha dusuk sirada",
"Warning: No sync options are enabled. Enable at least one sync option for the integration to be useful.","Uyari: Hicbir senkronizasyon secenegi etkin degil. Entegrasyonun faydali olmasi icin en az bir senkronizasyon secenegi etkinlestirin.",
Warning: Selected seller has no tenant assigned,Uyari: Secilen saticinin atanmis kiralayanı yok,
"Warning: Unknown webhook events: {0}. Valid events are: {1}","Uyari: Bilinmeyen webhook olaylari: {0}. Gecerli olaylar: {1}",
Warning threshold should be greater than critical threshold,Uyari esigi kritik esikten buyuk olmalidir,
Warning threshold should be greater than target value,Uyari esigi hedef degerden buyuk olmalidir,
Warning threshold should be less than critical threshold,Uyari esigi kritik esikten kucuk olmalidir,
Warning threshold should be less than target value,Uyari esigi hedef degerden kucuk olmalidir,

# Dialog Titles
Address Migration Complete,Adres Tasima Tamamlandi,
Address Migration Error,Adres Tasima Hatasi,
Address Migration Warning,Adres Tasima Uyarisi,
Approve Buyer,Aliciyi Onayla,
Block Buyer,Aliciyi Engelle,
Document Expired,Belge Suresi Doldu,
Grace Period,Ek Sure Donemi,
Invalid Configuration,Gecersiz Yapilandirma,
Invalid Cron,Gecersiz Cron,
Invalid DocType,Gecersiz DocType,
Invalid Jinja Syntax,Gecersiz Jinja Sozdizimi,
Invalid JSON,Gecersiz JSON,
Invalid Python Syntax,Gecersiz Python Sozdizimi,
Invalid Rule Code,Gecersiz Kural Kodu,
Invalid Template Code,Gecersiz Sablon Kodu,
Invalid URL Format,Gecersiz URL Formati,
Missing Configuration,Eksik Yapilandirma,
Missing Value,Eksik Deger,
Migration Skip,Tasima Atlandi,
Reject Buyer,Aliciyi Reddet,
Reject KYC,KYC Reddet,
Review Column Mapping,Sutun Eslestirmesini Incele,
Role Migration Complete,Rol Tasima Tamamlandi,
Role Migration Error,Rol Tasima Hatasi,
Role Migration Skipped,Rol Tasima Atlandi,
Segment Eligibility,Segment Uygunlugu,
Suspend Buyer,Aliciyi Askiya Al,
Suspend KYC,KYC Askiya Al,
User Warning,Kullanici Uyarisi,
Verify KYC,KYC Dogrula,

# Notification/Sync Messages
AML check requires provider integration,AML kontrolu saglayici entegrasyonu gerektirir,
District and Neighborhood cleared due to city change,Sehir degisikligi nedeniyle Ilce ve Mahalle temizlendi,
E-Invoice status check requires GIB integration,E-Fatura durum kontrolu GIB entegrasyonu gerektirir,
"ERPNext Sync: {0} {1} to {2}","ERPNext Senkronizasyonu: {0} {1} - {2}",
"Failed to create User Permission for Organization {0}","Organizasyon {0} icin Kullanici Yetkisi olusturulamadi",
"Failed to create User Permission for Tenant {0}","Kiralayan {0} icin Kullanici Yetkisi olusturulamadi",
"Failed to rename role {0} to {1}","Rol {0} {1} olarak yeniden adlandirilmadi",
Failed to unlink,Baglanti kaldirilamadi,
Failed to run auto-match. Please check that a valid import file is attached.,Otomatik eslestirme calistirilamadi. Lutfen gecerli bir icerik aktarma dosyasi eklendigini kontrol edin.,
"Import Job {0} - {1}","Icerik Aktarma Isi {0} - {1}",
"Linked Sales Order {0} was cancelled in ERPNext","Bagli Sales Order {0} ERPNext'te iptal edildi",
"Migrated roles: {0}","Tasinan roller: {0}",
"Migrated {0} buyer addresses, skipped {1}","{0} alici adresi tasindi, {1} atlandi",
Neighborhood cleared due to district change,Ilce degisikligi nedeniyle Mahalle temizlendi,
No columns found to match,Eslestirilecek sutun bulunamadi,
No columns were matched. Please configure column mapping manually.,Hicbir sutun eslestirilemedi. Lutfen sutun eslestirmesini elle yapilandirin.,
Organization cleared because it does not belong to the selected Tenant,Organizasyon secilen Kiralayandaki olmadigi icin temizlendi,
Please check the error report for failed rows.,Lutfen basarisiz satirlar icin hata raporunu kontrol edin.,
Seller cleared as it does not belong to the selected tenant,Satici secilen kiralayandaki olmadigi icin temizlendi,
Seller limit reached. Please upgrade your subscription.,Satici limitine ulasildi. Lutfen aboneliginizi yukseltin.,
Tenant auto-filled from selected seller,Kiralayan secilen saticidan otomatik dolduruldu,
Tenant is required for data isolation. Please select a Tenant.,Veri izolasyonu icin Kiralayan gereklidir. Lutfen bir Kiralayan secin.,
Tenant is required. Please select a tenant for this organization.,Kiralayan gereklidir. Lutfen bu organizasyon icin bir kiralayan secin.,
Unknown import type,Bilinmeyen icerik aktarma tipi,
"Unsupported file format: {0}","Desteklenmeyen dosya formati: {0}",
You can add a new seller,Yeni bir satici ekleyebilirsiniz,

# Tenant Isolation Messages
"Cannot create document for tenant {0}. Your tenant is {1}.","Kiralayan {0} icin belge olusturulamaz. Kiralayaniniz {1}.",
You do not have access to tenant-isolated documents. Please contact your administrator.,Kiralayan izolasyonlu belgelere erisim izniniz yok. Lutfen yoneticinizle iletisime gecin.,
"Access denied: You cannot modify documents belonging to tenant {0}. Your tenant is {1}.","Erisim reddedildi: Kiralayan {0} belgelerini degistiremezsiniz. Kiralayaniniz {1}.",
"Tenant cannot be changed after document creation. Original tenant: {0}","Belge olusturulduktan sonra kiralayan degistirilemez. Orijinal kiralayan: {0}",
This operation requires a tenant context. Please ensure you are logged in with a tenant-associated user.,Bu islem bir kiralayan baglami gerektirir. Lutfen kiralayan iliskili bir kullanici ile giris yaptiginizdan emin olun.,
"The selected seller ({0}) does not have a tenant assigned. Please contact your administrator.","Secilen saticinin ({0}) atanmis bir kiralayani yok. Lutfen yoneticinizle iletisime gecin.",
"Tenant and Seller mismatch: The selected seller ({0}) belongs to tenant '{1}', but this document is assigned to tenant '{2}'. Please select a seller from the correct tenant or update the tenant field.","Kiralayan ve Satici uyumsuzlugu: Secilen satici ({0}) '{1}' kiralayina ait ancak bu belge '{2}' kiralayina atanmis. Lutfen dogru kiralayandan bir satici secin veya kiralayan alanini guncelleyin.",

# Generic/Parameterized
"{0} cannot be negative","{0} negatif olamaz",
"{0} must be between 0 and 100","{0} 0 ile 100 arasinda olmalidir",
"{0} must be one of: {1}","{0} sulardan biri olmalidir: {1}",
"{0} must be valid JSON","{0} gecerli JSON olmalidir",
"{0} rating must be between 1 and 5, got {1}","{0} puani 1 ile 5 arasinda olmalidir, alinan: {1}",
"{0} should start with http:// or https://","{0} http:// veya https:// ile baslamalidir",
"Weight for '{0}' cannot be negative","'{0}' icin agirlik negatif olamaz",
"Weight for criterion {0} cannot exceed 100","Kriter {0} icin agirlik 100'u asamaz",
"Weight for criterion {0} must be greater than 0","Kriter {0} icin agirlik 0'dan buyuk olmalidir",
"Weighted score for '{0}' cannot be negative","'{0}' icin agirlikli puan negatif olamaz",
No enabled template found for the specified criteria,Belirtilen kriterler icin etkin sablon bulunamadi,
"Provide either template_code or event_type and channel","template_code veya event_type ve channel bilgilerinden birini saglayiniz",
"User '{0}' is disabled.","Kullanici '{0}' devre disi.",
"Buyer Profile does not have address_line_1 field. Migration skipped.","Alici Profili address_line_1 alanina sahip degil. Tasima atlandi.",
"Skipped roles: {0}","Atlanan roller: {0}",
"{0} days","{0} gun",
"{0} API Access","{0} API Erisimi",
"{0} Extra Credit Days","{0} Ek Kredi Gunu",
"{0}% Bulk Discount","%{0} Toplu Indirim",
"{0}% Discount","%{0} Indirim",

# Buyer Profile
"Review the auto-matched columns below. Green indicates high confidence, yellow indicates medium, and red indicates low confidence or no match.","Asagidaki otomatik eslestirilen sutunlari inceleyin. Yesil yuksek guveni, sari orta guveni ve kirmizi dusuk guveni veya eslesme olmadigini gosterir.",
